#
# Sunnyvale Tactical Call List
# updated/revised: 23-Apr-2012 by B Gundrum
#
XSCPPC  SCCo Park - Penitencia Creek         Mabury & Jackson Ave, San Jose
XSCPRS  SCCo Park - Rancho San Antonio       22500 Cristo Rey Dr, Cupertino
XSCPSA  SCCo Park - Sanborn                  16055 Sanborn Rd, Saratoga
XSCPST  SCCo Park - Santa Teresa             260 Bernal Rd, San Jose
XSCPSC  SCCo Park - Stevens Creek            11401 Stevens Canyon Rd, Cupertino
XSCPSB  SCCo Park - Sunnyvale Baylands       999 E Caribbean Dr, Sunnyvale
XSCPUS  SCCo Park - Upper Stevens Creek      Skyline Blvd, Palo Alto
XSCPUC  SCCo Park - Uvas Canyon              8515 Croy Rd, Morgan Hill
XSCPUR  SCCo Park - Uvas Reservoir           14200 Uvas Rd, Morgan Hill
XSCPVA  SCCo Park - Vasona                   333 Blossom Hill Rd, Los Gatos
XSCPVM  SCCo Park - Villa Montalvo           15400 Montalvo Rd, Saratoga

# Plus 10 Tactical Calls for Ad Hoc Use:  XSC001 - XSC010
#
# Campbell Tactical Call List
# Revised:  16 March 2016 by Barton Smith N6HDN
#
CBLSSV	Campbell ARES Shift Supervisor
CBLEC1	Campbell Emergency Coordinator
CBLAEC	Campbell Assistant Emergency Coordinator
CBLACP	Campbell Alternate Command Post
CBLSH1	Shelter in Campbell
CBLSH2	Shelter in Campbell
CBLCRT	Campbell CERT
CBLMCP	Campbell Mobile Command Post
CBLCCC	Campbell Community Center CERT
CBLCVE	Campbell Village CERT
CBLDWN	Downtown CERT
CBLHCA	Hacienda CERT
CBLHPK	Hamann Park CERT
CBLHZD	Hazelwood CERT
CBLMPK	Morgan Park CERT
CBLPDC	Pruneyard Dry Creek CERT
CBLSTS	San Tomas CERT
CBLSTA	San Tomas Aquino CERT
CBLSTW	San Tomas West CERT
CBLUAV	Union Avenue CERT
CBLWOK	White Oak CERT
